"id","id_competition","competition_name","competition_official_name","competition_initial_date","competition_final_date","competition_url_image","competition_url_image_negative","id_edition","edition_year","id_phase","phase_id","phase_description","phase_abrev","id_subphase","id_round","id_matchweek","id_week","week_description","matchweek_number","id_team_local","local_team_id_team_denomination","local_team_team_actual_name","local_team_team_actual_short_name","local_team_team_abbrev_name","id_team_visitor","visitor_team_id_team_denomination","visitor_team_team_actual_name","visitor_team_team_actual_short_name","visitor_team_team_abbrev_name","score_local","score_visitor","date","time","live","finalized","selected_players","arena_name","arena_town","period","crono","matchweek_descriptor"
104490,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5887,2864,"Semana 4","4",4399,2728,"Bàsquet Girona","Bàsquet Girona","GIR",4390,2664,"Dreamland Gran Canaria","Dreamland GC","DGC",85,81,1761436800,39600,FALSE,TRUE,FALSE,"Palau Girona-Fontajau","Girona",4,0,"Jornada 4"
104489,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5887,2864,"Semana 4","4",4402,2680,"Recoletas Salud San Pablo Burgos","Recoletas Salud","BUR",4392,2666,"Casademont Zaragoza","Casademont Zgz","CAZ",89,102,1761350400,68400,FALSE,TRUE,FALSE,"Coliseum Burgos","Burgos",4,0,"Jornada 4"
104488,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5887,2864,"Semana 4","4",4391,2665,"La Laguna Tenerife","La Laguna TFE","LLT",4384,2658,"Unicaja","Unicaja","UNI",95,79,1761350400,64800,FALSE,TRUE,FALSE,"Pab. Dep. Tenerife Santiago Martín","San Cristóbal de La Laguna",4,0,"Jornada 4"
104487,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5887,2864,"Semana 4","4",4386,2660,"Barça","Barça","BAR",4395,2669,"Río Breogán","Río Breogán","BRE",100,85,1761350400,61200,FALSE,TRUE,FALSE,"Palau Blaugrana","Barcelona",4,0,"Jornada 4"
104486,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5887,2864,"Semana 4","4",4387,2661,"Hiopos Lleida","Hiopos Lleida","HIO",4401,2674,"Coviran Granada","Coviran Granada","COV",99,90,1761350400,57600,FALSE,TRUE,FALSE,"Espai Fruita Barris Nord","Lleida",4,0,"Jornada 4"
104503,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5888,2865,"Semana 5","5",4398,2710,"Baskonia","Baskonia","BKN",4391,2665,"La Laguna Tenerife","La Laguna TFE","LLT",89,79,1762041600,64800,FALSE,TRUE,FALSE,"Fernando Buesa Arena","Vitoria-Gasteiz",4,0,"Jornada 5"
104502,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5888,2865,"Semana 5","5",4397,2671,"Valencia Basket","Valencia Basket","VBC",4402,2680,"Recoletas Salud San Pablo Burgos","Recoletas Salud","BUR",100,82,1762041600,61200,FALSE,TRUE,FALSE,"Roig Arena","Valencia",4,0,"Jornada 5"
104501,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5888,2865,"Semana 5","5",4386,2660,"Barça","Barça","BAR",4393,2667,"UCAM Murcia","UCAM Murcia","UCM",78,81,1762041600,57600,FALSE,TRUE,FALSE,"Palau Blaugrana","Barcelona",4,0,"Jornada 5"
104500,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5888,2865,"Semana 5","5",4392,2666,"Casademont Zaragoza","Casademont Zgz","CAZ",4388,2662,"Real Madrid","Real Madrid","RMB",83,95,1762041600,41400,FALSE,TRUE,FALSE,"Pabellón Príncipe Felipe","Zaragoza",4,0,"Jornada 5"
104499,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5888,2865,"Semana 5","5",4394,2716,"Joventut Badalona","Joventut","JOV",4387,2661,"Hiopos Lleida","Hiopos Lleida","HIO",82,68,1762041600,39600,FALSE,TRUE,FALSE,"Palau Municipal D´Esports de Badalona","Badalona",4,0,"Jornada 5"
