"id","id_competition","competition_name","competition_official_name","competition_initial_date","competition_final_date","competition_url_image","competition_url_image_negative","id_edition","edition_year","id_phase","id_subphase","id_round","id_matchweek","id_match","period","id_edition_license_team","is_local","id_team","id_local_team","local_team_id_team_denomination","local_team_team_actual_name","local_team_team_actual_short_name","local_team_team_abbrev_name","id_visitor_team","visitor_team_id_team_denomination","visitor_team_team_actual_name","visitor_team_team_actual_short_name","visitor_team_team_abbrev_name","match_number","points","time_played","x3pt_success","x3pt_tried","x3pt_percentage","x2pt_success","x2pt_tried","x2pt_percentage","x1pt_success","x1pt_tried","x1pt_percentage","defensive_rebound","offensive_rebound","total_rebound","asis","steals","turnovers","counter_attack","blocks","received_blocks","dunks","personal_fouls","received_fouls","val","differential","tournament_number2","defeats","victories","tie","team_score","rival_team_score","timeouts","time_as_leader","leader_changes","maximun_difference","points_after_steal","points_in_the_paint","second_opportinity_points","bench_points","best_streak"
2191545,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5903,104637,NA,NA,TRUE,4389,4389,2711,"Surne Bilbao","Surne Bilbao","SBB",4398,2710,"Kosner Baskonia","Kosner Baskonia","BKN",1,69,12000,10,29,34,19,47,40,1,3,33,25,17,42,13,5,19,10,1,7,6,20,18,53,-35,-1,13,0,0,69,76,4,834,2,8,14,36,9,34,13
2191460,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5903,104636,NA,NA,FALSE,4396,4386,2660,"Barça","Barça","BAR",4396,2725,"BAXI Manresa","BAXI Manresa","BAX",1,60,12000,6,25,24,13,39,33,16,23,69,21,11,32,12,9,16,2,3,1,1,21,24,50,-185,-1,13,0,0,60,97,4,365,0,5,5,22,2,30,5
2191459,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5903,104636,NA,NA,TRUE,4386,4386,2660,"Barça","Barça","BAR",4396,2725,"BAXI Manresa","BAXI Manresa","BAX",1,97,12000,9,28,32,27,49,55,16,18,88,37,19,56,14,9,16,14,1,3,1,24,20,111,185,-1,0,13,0,97,60,2,2029,1,41,11,48,19,45,15
2191155,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5903,104635,NA,NA,FALSE,4397,4385,2659,"MoraBanc Andorra","MoraBanc And","MBA",4397,2671,"Valencia Basket","Valencia Basket","VBC",1,107,12000,15,40,37,23,36,63,16,21,76,29,14,43,23,12,7,33,3,3,5,18,21,138,160,-1,0,13,0,107,75,1,2331,0,36,9,44,5,48,9
2191154,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5903,104635,NA,NA,TRUE,4385,4385,2659,"MoraBanc Andorra","MoraBanc And","MBA",4397,2671,"Valencia Basket","Valencia Basket","VBC",1,75,12000,10,30,33,18,37,48,9,11,81,24,8,32,15,4,15,0,3,3,3,21,18,67,-160,-1,13,0,0,75,107,5,0,0,0,2,32,0,44,8
2191042,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5903,104634,NA,NA,FALSE,4399,4387,2661,"Hiopos Lleida","Hiopos Lleida","HIO",4399,2728,"Bàsquet Girona","Bàsquet Girona","GIR",1,93,12000,13,27,48,21,33,63,12,18,66,25,12,37,24,3,15,9,3,2,2,23,19,107,60,-1,0,13,0,93,81,1,2076,1,19,4,28,10,44,9
2191041,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5903,104634,NA,NA,TRUE,4387,4387,2661,"Hiopos Lleida","Hiopos Lleida","HIO",4399,2728,"Bàsquet Girona","Bàsquet Girona","GIR",1,81,12000,10,34,29,15,37,40,21,28,75,15,18,33,23,10,7,8,3,3,1,20,23,90,-60,-1,13,0,0,81,93,4,258,0,4,0,26,11,25,7
2190872,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5903,104633,NA,NA,TRUE,4393,4393,2667,"UCAM Murcia","UCAM Murcia","UCM",4402,2680,"Recoletas Salud San Pablo Burgos","Recoletas Salud","BUR",1,101,12000,12,24,50,22,46,47,21,27,77,29,8,37,19,9,18,12,2,0,1,27,26,107,95,-1,0,13,0,101,82,2,2360,0,21,7,42,5,41,8
2190873,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5903,104633,NA,NA,FALSE,4402,4393,2667,"UCAM Murcia","UCAM Murcia","UCM",4402,2680,"Recoletas Salud San Pablo Burgos","Recoletas Salud","BUR",1,82,12000,4,19,21,24,54,44,22,30,73,25,16,41,13,12,19,15,0,2,3,28,25,71,-95,-1,13,0,0,82,101,5,0,0,0,7,42,6,31,9
2190734,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5903,104632,NA,NA,TRUE,4391,4391,2665,"La Laguna Tenerife","La Laguna TFE","LLT",4395,2669,"Río Breogán","Río Breogán","BRE",1,90,12000,13,30,43,18,30,60,15,20,75,23,12,35,16,6,12,0,2,0,3,20,23,106,45,-1,0,13,0,90,81,2,1852,4,13,6,30,13,27,12
